season_label,season_key,season_type,as_of_date,team,team_icon,team_color,gp,w,l,t,pts,gf,ga,diff
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,1,1,0,0,2,3,2,1
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,1,1,0,0,2,10,2,8
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,1,1,0,0,2,5,0,5
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,1,0,1,0,0,0,5,-5
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,1,0,1,0,0,2,10,-8
Playoffs 2021-2022,2021-2022,playoffs,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,1,0,1,0,0,2,3,-1
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,2,2,0,0,4,8,5,3
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,2,2,0,0,4,16,6,10
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,2,1,1,0,2,8,5,3
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,2,0,2,0,0,4,11,-7
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,2,0,2,0,0,3,17,-14
Playoffs 2021-2022,2021-2022,playoffs,2022-03-24,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,2,1,1,0,2,9,4,5
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,3,2,1,0,4,10,12,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,3,3,0,0,6,21,8,13
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,3,2,1,0,4,14,10,4
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,3,1,2,0,2,11,13,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,3,0,3,0,0,8,23,-15
Playoffs 2021-2022,2021-2022,playoffs,2022-03-28,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,3,1,2,0,2,11,9,2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,4,3,1,0,6,18,14,4
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,4,3,1,0,6,23,14,9
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Falcons,https://ormrhl.com/wp-content/uploads/2021/11/falcons_icon-128x128.png,#233A6B,4,3,1,0,6,20,12,8
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,4,2,2,0,4,20,18,2
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Rhinos,https://ormrhl.com/wp-content/uploads/2021/11/Rhinos_logo-128x128.png,#6B6F76,4,0,4,0,0,10,31,-21
Playoffs 2021-2022,2021-2022,playoffs,2022-03-30,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,4,1,3,0,2,16,18,-2
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Cobras,https://ormrhl.com/wp-content/uploads/2021/11/Cobras_Logo-128x128.png,#2B8C5C,5,3,2,0,6,20,17,3
Playoffs 2021-2022,2021-2022,playoffs,2022-04-04,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,5,4,1,0,8,26,16,10
